semente,limite_preco,quantidade,rmspe
7,600000,1913,0.33451961795847784
7,740000,1413,0.24579965721492186
7,830000,1174,0.21643247755151987
7,950000,947,0.20288062718180494
7,1000000,852,0.20297594282149795
7,1300000,516,0.23168599807105925
7,1500000,370,0.2479915421893009
7,2000000,194,0.2757431608022622
42,600000,1913,0.3283018195188565
42,740000,1413,0.2388692969035371
42,830000,1174,0.20773083774633735
42,950000,947,0.19340710284082058
42,1000000,852,0.19204933222973397
42,1300000,516,0.22024126456535068
42,1500000,370,0.23171970493608307
42,2000000,194,0.2511369523215042
2026,600000,1913,0.3361103187978035
2026,740000,1413,0.24309233355420226
2026,830000,1174,0.2114604320631135
2026,950000,947,0.19807834246055991
2026,1000000,852,0.1972162598888728
2026,1300000,516,0.22757752754502178
2026,1500000,370,0.23873862967639284
2026,2000000,194,0.26153923049463523
